t,chi_tdvp,chi_bug,z_exact_1,z_tdvp_1,z_bug_1,err2_tdvp_1,err2_bug_1,z_exact_4,z_tdvp_4,z_bug_4,err2_tdvp_4,err2_bug_4,z_exact_8,z_tdvp_8,z_bug_8,err2_tdvp_8,err2_bug_8
0.76,4.0,4.0,0.5753924626725908,0.5753924559146998,0.5753976966597306,4.566909109977208e-17,2.739462137967256e-11,-0.739892664991402,-0.7398925067687052,-0.7398937782292291,2.5034421793202023e-14,1.239298459536879e-12,-0.5753924626725911,-0.5753924559146995,-0.5753977384594169,4.566910010309198e-17,2.78339266306779e-11
0.77,4.0,4.0,0.5674550867585112,0.5674550792066296,0.5674603608697582,5.703091516481074e-17,2.7816249445264063e-11,-0.7377166473711189,-0.7377164765099595,-0.7377177069227852,2.9193535768298906e-14,1.1226497335457113e-12,-0.5674550867585118,-0.5674550792066294,-0.5674604034518135,5.703092690279325e-17,2.8267227664626554e-11
0.78,4.0,4.0,0.5595617588980615,0.5595617504778735,0.5595670696964399,7.089956580880205e-17,2.8204579416011177e-11,-0.7356295153546636,-0.7356293312383905,-0.7356305203695268,3.3898802026283956e-14,1.0100548752933823e-12,-0.559561758898062,-0.5595617504778734,-0.5595671130750683,7.089957702674639e-17,2.866721141491442e-11
0.79,4.0,4.0,0.5517163602715619,0.5517163509035875,0.5517217042509839,8.775894428809727e-17,2.8558116062534477e-11,-0.7336294145031651,-0.7336292165153562,-0.7336303642682702,3.9199172483051475e-14,9.020537549002591e-13,-0.5517163602715628,-0.5517163509035873,-0.5517217484391469,8.775896508918024e-17,2.9032349914435654e-11
0.8,4.0,4.0,0.5439227197249943,0.543922709324351,0.5439280933128819,1.0817337971302362e-16,2.8875446786386723e-11,-0.7317143393003686,-0.731714126827403,-0.7317152332427197,4.514476109175488e-14,7.991329271677417e-13,-0.5439227197249953,-0.5439227093243504,-0.5439281383225354,1.0817341435412716e-16,2.9361199301661884e-11
0.81,4.0,4.0,0.5361846113548966,0.5361845998310704,0.5361900109149772,1.3279857090088366e-16,2.9155249064117545e-11,-0.729882143010963,-0.7298819154447584,-0.7298829806994565,5.178637745192833e-14,7.017220120756534e-13,-0.5361846113548977,-0.5361845998310686,-0.536190056757261,1.3279863742978148e-16,2.9652406897652124e-11
0.82,4.0,4.0,0.5285057521428553,0.5285057393994704,0.5285111739781053,1.6239385878267162e-16,2.939629747798794e-11,-0.7281305477290996,-0.7281303044699956,-0.7281313288761416,5.917499166496e-14,6.101907013041773e-13,-0.5285057521428568,-0.5285057393994709,-0.5285112206634809,1.6239388424907142e-16,2.990471781629294e-11
0.83,4.0,4.0,0.5208897996413316,0.5208897855759077,0.520895239997039,1.9783615051828021e-16,2.9597470222774984e-11,-0.726457154582604,-0.7264568950423718,-0.7264578790454682,6.736113212771303e-14,5.248464416837285e-13,-0.5208897996413329,-0.5208897855759077,-0.5208952875354147,1.978361848729482e-16,3.011698145343753e-11
0.84,4.0,4.0,0.513340349712478,0.5133403342161793,0.5133458047794156,2.401352730490528e-16,2.9757755293802087e-11,-0.7248594540584793,-0.7248591776634524,-0.7248601218403925,7.639421087616163e-14,4.4593268361120486e-13,-0.5133403497124798,-0.5133403342161793,-0.5133458531802342,2.401353281029683e-16,3.028815732381497e-11
0.85,4.0,4.0,0.5058609343215857,0.5058609172789804,0.5058664002392704,2.9045039633113473e-16,2.9876256135788226e-11,-0.7233348364154845,-0.7233345426098394,-0.7233354476664796,8.632175705456626e-14,3.736277790752897e-13,-0.5058609343215874,-0.505860917278981,-0.5058664495115909,2.9045043417332163e-16,3.041732077436323e-11
0.86,4.0,4.0,0.4984550193867343,0.4984550006755541,0.49846049224676975,3.501082650885942e-16,2.995219696749575e-11,-0.7218806021499095,-0.7218802903990542,-0.7218811571674675,9.718859574407627e-14,3.0804448971468535e-13,-0.49845501938673664,-0.49845500067555304,-0.49846054239933274,3.5010839180746254e-16,3.0503668136658376e-11
